Incumbency,Candidate in GE24,Elected in GE24,Title,First Name,Surname,Gender,Consituency,Party Full,mean_pitch_hz,min_pitch_hz,max_pitch_hz,,,
N,Y,N,Cllr,Elisa ,O'Donovan,F,Limerick City,Social Democrats,192.71,79.83,463.41,,,
N,Y,N,Senator,Maria ,Byrne,F,Limerick City,Fine Gael,175.23,74.98,464.94,,,
N,Y,N,,Dee,Ryan,F,Limerick City,Fianna Fail,170.08,83.51,379.8,,,
N,Y,N,,Esther,Aherne,F,Limerick City,Independent Ireland,,,,,,
N,Y,N,,Michelle,Hayes,F,Limerick City,Independent,,,,,,
N,Y,N,,Joanne,Collins,F,Limerick County,Sinn Fein,172.02,75.91,493.77,,,
N,Y,N,Cllr,Bridie ,Collins,F,Limerick County,Fianna Fail,176.73,75.17,498.37,,,
N,Y,N,Cllr,Noreen,Stokes,F,Limerick County,Fine Gael,229.55,104.55,473.5,,,
N,Y,N,,Lorraine,O'Sullivan,F,Limerick County,The Irish People,,,,,,
N,Y,N,,Donna,O'Loughlin,F,Limerick County,Irish Freedom Party,205.56,83.98,499.97,,,
N,Y,N,,Laura,Fahey,F,Limerick County,Solidarity - People Before Profit,,,,,,
N,Y,N,,April,Sheehan Corkery,F,Limerick County,Independent,186.44,75.2,408.92,,,
Y,Y,Y,Deputy,Sorca,Clarke,F,Longford-Westmeath,Sinn Fein,203.52,112.02,463.66,,,
N,Y,N,,Laura,O'Neill,F,Longford-Westmeath,Aontu,187.91,75.11,494.37,,,
N,Y,N,Cllr,Louise,Heavin,F,Longford-Westmeath,Independent,182.26,75.36,493.63,,,
N,Y,N,,Tanya,Cannon,F,Longford-Westmeath,Fine Gael,177.56,74.98,324.97,,,
N,Y,N,,Fidelma,Bennett,F,Longford-Westmeath,Labour,,,,,,
N,Y,N,,Carol,Okeke,F,Longford-Westmeath,Green Party,,,,,,
N,Y,N,,Dympna,Cunniffe,F,Longford-Westmeath,Fianna Fail,184.17,75.78,490.05,,,
N,Y,N,,Margaret,Alacoque Maguire,F,Longford-Westmeath,Ireland First,,,,,,
N,Y,N,,Charlotte,Keenan,F,Longford-Westmeath,Independent,157.28,75.76,307.02,,,
N,Y,Y,Senator,Erin ,McGreehan,F,Louth,Fianna Fail,168.41,74.96,399.62,,,
N,Y,Y,Cllr,Joanna ,Byrne,F,Louth,Sinn Fein,204.34,77.09,488.83,,,
N,Y,N,,Alison ,Comyn,F,Louth,Fianna Fail,198.61,83.99,497.51,,,
N,Y,Y,Cllr,Paula ,Butterly,F,Louth,Fine Gael,183.99,76.5,323.69,,,
N,Y,N,Cllr,Marianne,Butler,F,Louth,Green Party,214.52,140.97,499.59,,,
N,Y,N,,Tracy Marie,O'Hanlon,F,Louth,Independent,242.33,143.46,403.56,,,
Y,Y,Y,Deputy,Rose ,Conway - Walsh,F,Mayo,Sinn Fein,200.09,80.95,498.02,,,
N,Y,N,Senator,Lisa ,Chambers,F,Mayo,Fianna Fail,157.19,75.79,269.57,,,
N,Y,Y,,Keira,Keogh,F,Mayo,Fine Gael,209.02,84.06,465.3,,,
N,Y,N,,Martina,Jennings,F,Mayo,Fine Gael,226.29,75.48,391.62,,,
Y,Y,Y,Deputy,Helen ,McEntee,F,Meath East,Fine Gael,165.92,75.28,499.57,,,
N,Y,N,Cllr,Sharon,Tolan,F,Meath East,Fine Gael,172.62,116.28,328.66,,,
N,Y,N,Cllr,Emer ,Toibin,F,Meath East,Aontu,186.19,75.2,499.13,,,
N,Y,N,Cllr,Caroline,O'Reilly,F,Meath East,Fianna Fail,175.48,79.42,437.56,,,
N,Y,N,,Eilish ,Balfe,F,Meath East,Labour,225.98,85.97,331.67,,,
N,Y,N,,Jean,Murray,F,Meath East,National Party,186.38,75.16,499.29,,,
N,Y,Y,Cllr,Gillian,Toole,F,Meath East,Independent,192.39,78.45,380.96,,,
N,Y,N,Cllr,Maria,White,F,Meath East,Sinn Fein,234.98,99.91,482.35,,,
N,Y,N,,Clara,McCormack,F,Meath East,Solidarity - People Before Profit,,,,,,
N,Y,N,,Carolyn,Fahy,F,Meath East,Party for Animal Welfare,228.56,81.03,350.26,,,
N,Y,N,,Barbara,Reid,F,Meath East,Liberty Republic,,,,,,
N,Y,Y,Cllr,Aisling ,Dempsey,F,Meath West,Fianna Fail,179.34,75.16,453.88,,,
N,Y,N,Cllr,Linda,Nelson Murray,F,Meath West,Fine Gael,238.63,75.01,496.98,,,
N,Y,N,,Sandy,Gallagher,F,Meath West,Labour,191.43,82.3,383.48,,,
N,Y,N,Senator,Pippa ,Hackett,F,Offaly,Green Party,210.54,80.4,465.81,,,
N,Y,N,Cllr,Aoife ,Masterson,F,Offaly,Sinn Fein,258.91,76.87,498.7,,,
N,Y,N,Cllr,Claire,Murray,F,Offaly,Fianna Fail,242.05,74.99,498.4,,,
N,Y,N,,Maureen ,Ward,F,Offaly,Aontu,,,,,,
N,Y,N,,Keishia,Taylor,F,Offaly,Solidarity - People Before Profit,,,,,,
Y,Y,Y,Deputy,Carol,Nolan,F,Offaly,Independent,223.71,108.97,478.86,,,
Y,Y,Y,Deputy,Clare,Kerrane,F,Roscommon-Galway,Sinn Fein,187.5,81.43,461.27,,,
N,Y,N,,Dympna,Daly Finn,F,Roscommon-Galway,Fine Gael,206.9,110.64,484.12,,,
N,Y,N,Senator,Aisling,Dolan,F,Roscommon-Galway,Fine Gael,252.39,75.04,462.16,,,
N,Y,N,,Martina,O'Connor,F,Roscommon-Galway,Green Party,223.34,75.72,489.07,,,
Y,Y,Y,Deputy,Marian,Harkin,F,Sligo-Leitrim,Independent,259.58,76.5,497.39,,,
N,Y,N,,Edel,McSharry,F,Sligo-Leitrim,Fianna Fail,169.58,76.92,498.48,,,
N,Y,N,Cllr,Nessa,Cosgrove,F,Sligo-Leitrim,Labour,177.94,81.95,492.21,,,
N,Y,N,,Blaithin,Gallagher,F,Sligo-Leitrim,Green Party,241.49,75.64,499.42,,,
N,Y,N,Cllr,Marie,Casserly,F,Sligo-Leitrim,Independent,214.8,75.14,481.93,,,
N,Y,N,,Molly,Candon,F,Sligo-Leitrim,Party for Animal Welfare,191.51,75.76,499.23,,,
N,Y,N,,Caroline,Corcoran,F,Sligo-Leitrim,Independent Ireland,,,,,,
N,Y,N,Cllr,Phyll,Bugler,F,Tipperary North,Fine Gael,171.31,75.56,486.85,,,
N,Y,N,,Iva,Pocock,F,Tipperary North,Green Party,231.64,102.33,498.59,,,
N,Y,N,,Diana,O'Dwyer,F,Tipperary North,Solidarity - People Before Profit,,,,,,
N,Y,N,Cllr,Imelda ,Goldsboro,F,Tipperary South,Fianna Fail,247.79,81.84,497.92,,,
N,Y,N,,Myriam,Madigan,F,Tipperary South,Green Party,,,,,,
N,Y,N,,Nadaline,Webster,F,Tipperary South,Independent Ireland,139.14,75.04,362.87,,,
N,Y,N,,Rosemary,McGlone,F,Tipperary South,Aontu,197.04,80.6,492.48,,,
Y,Y,Y,Deputy,Mary ,Butler,F,Waterford,Fianna Fail,193.78,82.67,392.67,,,
N,Y,N,Cllr,Mary ,Roche,F,Waterford,Social Democrats,234.67,75.17,499.09,,,
N,Y,N,,Sadhbh,O'Neill,F,Waterford,Labour,216.43,99.76,498.9,,,
Y,Y,Y,Deputy,Verona,Murphy,F,Wexford,Independent,190.5,78.09,467.69,,,
N,Y,N,Cllr,Bridin ,Murphy,F,Wexford,Fine Gael,185.43,74.97,496.64,,,
N,Y,N,,Martina,Stafford,F,Wexford,Solidarity - People Before Profit,,,,,,
N,Y,N,,Michelle,O'Neill,F,Wexford,Fianna Fail,187.98,75.18,377.77,,,
Y,Y,Y,Deputy,Jennifer ,Whitmore,F,Wicklow,Social Democrats,155.51,75.4,497.34,,,
N,Y,N,,Kellie ,McConnell,F,Wicklow,Solidarity - People Before Profit,158.59,74.93,484.88,,,
N,Y,N,,Michaela,Keddy,F,Wicklow,The Irish People,198.95,75.03,495.54,,,
N,Y,N,Cllr,Peir,Leonard,F,Wicklow-Wexford,Independent,,,,,,
N,Y,N,,Aislinn,O'Keefe,F,Wicklow-Wexford,Solidarity - People Before Profit,,,,,,
N,Y,N,,Ann,Walsh,F,Wicklow-Wexford,Green Party,140.76,75,496.23,,,
N,Y,N,,Sinead,Boland,F,Wicklow-Wexford,Aontu,,,,,,
N,Y,N,,Frances ,Lawlor,F,Wicklow-Wexford,Independent Ireland,,,,,,
N,Y,N,,Isla-Maria,Nolan,F,Wicklow-Wexford,Independent,,,,,,
